englishSpelling,meaning,partOfSpeech
apple,사과,명사
banana,바나나,명사
communicate,의사소통하다,동사
beautiful,아름다운,형용사
quickly,빠르게,부사
knowledge,지식,명사
challenge,도전,명사
improve,향상시키다,동사
important,중요한,형용사
carefully,조심스럽게,부사
experience,경험,명사
develop,개발하다,동사
creative,창의적인,형용사
successfully,성공적으로,부사
opportunity,기회,명사
achieve,달성하다,동사
excellent,훌륭한,형용사
gradually,점차적으로,부사
environment,환경,명사
understand,이해하다,동사
confident,자신감 있는,형용사
honestly,솔직하게,부사
responsibility,책임,명사
encourage,격려하다,동사
difficult,어려운,형용사
absolutely,절대적으로,부사
technology,기술,명사
consider,고려하다,동사
innovative,혁신적인,형용사
efficiently,효율적으로,부사
leadership,리더십,명사
accomplish,성취하다,동사
flexible,유연한,형용사
frequently,자주,부사
community,공동체,명사
contribute,기여하다,동사
significant,중요한,형용사
effectively,효과적으로,부사
relationship,관계,명사
analyze,분석하다,동사
productive,생산적인,형용사
constantly,끊임없이,부사
solution,해결책,명사
collaborate,협력하다,동사
reliable,신뢰할 수 있는,형용사
simultaneously,동시에,부사
achievement,성취,명사
transform,변환하다,동사
ambitious,야망 있는,형용사
precisely,정확하게,부사
