englishSpelling,meaning,partOfSpeech,image_name
apple,사과,명사,apple.png
banana,바나나,명사,banana.png
communicate,의사소통하다,동사,communicate.png
beautiful,아름다운,형용사,beautiful.png
quickly,빠르게,부사,quickly.png
knowledge,지식,명사,knowledge.jpg
challenge,도전,명사,challenge.png
improve,향상시키다,동사,improve.png
important,중요한,형용사,important.png
carefully,조심스럽게,부사,carefully.jpg
experience,경험,명사,experience.png
develop,개발하다,동사,develop.png
creative,창의적인,형용사,creative.png
successfully,성공적으로,부사,successfully.jpg
opportunity,기회,명사,opportunity.jpg
achieve,달성하다,동사,achieve.jpg
excellent,훌륭한,형용사,excellent.jpg
gradually,점차적으로,부사,gradually.jpg
environment,환경,명사,environment.jpg
understand,이해하다,동사,understand.jpg
confident,자신감 있는,형용사,confident.jpg
honestly,솔직하게,부사,honestly.png
responsibility,책임,명사,responsibility.png
encourage,격려하다,동사,encourage.png
difficult,어려운,형용사,difficult.jpg
absolutely,절대적으로,부사,absolutely.png
technology,기술,명사,technology.jpg
consider,고려하다,동사,consider.jpg
innovative,혁신적인,형용사,innovative.jpeg
efficiently,효율적으로,부사,efficiently.jpeg
leadership,리더십,명사,leadership.jpg
accomplish,성취하다,동사,accomplish.jpg
flexible,유연한,형용사,flexible.jpg
frequently,자주,부사,frequently.jpg
community,공동체,명사,community.jpg
contribute,기여하다,동사,contribute.jpg
significant,중요한,형용사,significant.jpg
effectively,효과적으로,부사,effectively.jpg
relationship,관계,명사,relationship.jpg
analyze,분석하다,동사,analyze.jpg
productive,생산적인,형용사,productive.jpg
constantly,끊임없이,부사,constantly.jpg
solution,해결책,명사,solution.jpg
collaborate,협력하다,동사,colllaborate.jpg
reliable,신뢰할 수 있는,형용사,reliable.jpg
simultaneously,동시에,부사,simultaneously.jpg
achievement,성취,명사,achievement.jpg
transform,변환하다,동사,transform.jpg
ambitious,야망 있는,형용사,ambitious.jpg
precisely,정확하게,부사,precisely.jpg
